store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;6152;5800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;8106;5800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12041;5750;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12179;5694;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12055;5633;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ06579;5618;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09245;5600;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;1969;5537;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10225;5500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12168;5337;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11948;5000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201065571;5000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42241072564;5000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10373;4920;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11074;4894;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;3185;4615;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201077880;4579;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12204;4400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10404;4295;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08096;4153;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C1747B;4026;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2074;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9646;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9968;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11638;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11959;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201070689;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42241079420;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42241079420;4000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07027;3895;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12050;3856;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08778;3778;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2493;3770;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2148;3769;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10406;3559;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C0344;3500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10409;3500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12173;3406;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05444;3400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
